 %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Thu Feb  6 10:39:10 2020 nblocks = 0ET = 3.0
drained notdrained mean
0.0 0.0 0.0
-0.09841363100783695 0.0 -0.11021871483130184
-0.14860802221084413 0.0 -0.11472582419954398
-0.15930859121509222 0.0 -0.11161613797722715
-0.17740792018551232 0.0 -0.11227245783866265
-0.21240840425067908 0.0 -0.11864440739858319
-0.15238938452185735 0.0 -0.10233956522551256
-0.15725389719070115 0.0 -0.10294430915121694
-0.19618276012149494 0.0 -0.11140720465911468
-0.23912761064872257 -0.003561716588823316 -0.12203137824299691
-0.2686427507063538 -0.0014101583792189842 -0.12853142439036577
-0.3002628439173911 -0.0032907569118663105 -0.13630506314796006
-0.3290852159506237 -0.005217222884745354 -0.14339917789251114
-0.3581035909699448 -0.009111013311407845 -0.15102504355887938
-0.3853981307741048 -0.01301765562808832 -0.1581767479977069
-0.4119767071603473 -0.016940427311407547 -0.1649395078602412
-0.4379772702317517 -0.020882893754942344 -0.17137610412992113
-0.46313074313271585 -0.024861803801456972 -0.1775328895159958
-0.48735185724221 -0.02902693074697993 -0.18344455434978746
-0.5108588567227788 -0.033605727644610894 -0.18913831799057704
-0.53403946452665 -0.03817772852332446 -0.19463599770494816
-0.5567277213501072 -0.042397082506122175 -0.19975190890998734
-0.5798160021849093 -0.04689794015483528 -0.2048461068500257
-0.6030783476772967 -0.051561341947245154 -0.20985947298321472
-0.6245264929279877 -0.05497036599932592 -0.2140365077386692
-0.6472579146973576 -0.05970035312135735 -0.21879910339608075
-0.6011527191915444 -0.008714273011811713 -0.19410542201678307
-0.6164132996023959 -0.008033889407675687 -0.19662597276499003
-0.6329349105050603 -0.008363558899961987 -0.19958406665066963
-0.654871254985105 -0.01251212208795316 -0.2047287047469125
-0.67655729269954 -0.016674975157139116 -0.2096927009338497
-0.6930678627613105 -0.017595514344694863 -0.2124572195197224
-0.714119745271443 -0.02178723548744621 -0.21719097292193248
-0.7344694602820958 -0.025823398331954905 -0.22165359746916247
-0.7544134881986784 -0.030223503284009468 -0.2259991774854171
-0.7732697997595874 -0.03416004442366116 -0.2299569689702966
-0.792677644168144 -0.03885597726218393 -0.23424462174469293
-0.8116303210924478 -0.04357608369822508 -0.23843586766175723
-0.8172381885412685 -0.03850850783279114 -0.23703094389421284
-0.8353355767503876 -0.04322265355984101 -0.24118499538890256
-0.8345922569630977 -0.03399973675754708 -0.23739984340604048
-0.8519516703481465 -0.03867652490500362 -0.24156749122870183
-0.8689447953964731 -0.04337617453073328 -0.24562851629285823
-0.8855572580401789 -0.04810213864613466 -0.24959720328687865
-0.9017771949775337 -0.052856548588325225 -0.2534822415692862
-0.9175968569313442 -0.0576408457056683 -0.2572903883980657
-0.8722136570847825 -0.01558147300442947 -0.23521184690254174
